organism,annotation_searched,innexin_discovery_run,innexin_category,connexin_category,pannexin_category,listed_not_annotated_innexin,in_species_config,sources,source_count
Halicryptus spinulosus,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Helobdella robusta,yes,no,annotated_family_member_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary,1
Homo sapiens,no,no,,,,no,yes,species_config,1
Hormiphora californensis,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Hydra vulgaris,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Hylobates moloch,no,no,,,,no,yes,species_config,1
Hypsibius dujardini,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;innexin_discovery,2
Ixodes scapularis,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Lepidodermella squamata,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Leucoraja erinaceus,no,no,,,,no,yes,species_config,1
Limulus polyphemus,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Lottia gigantea,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Macaca fascicularis,no,no,,,,no,yes,species_config,1
Macaca mulatta,no,no,,,,no,yes,species_config,1
Macrodasys sp.,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Meiopriapulus fijiensis,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Mesocricetus auratus,no,no,,,,no,yes,species_config,1
Mizuhopecten yessoensis,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary;batch_jun2026,2
Mus musculus,no,no,,,,no,yes,species_config,1
Nematostella vectensis,yes,no,annotated_family_member_found,no_related_entry_found,annotated_family_member_found,no,no,annotation_summary,1
Octopus bimaculoides,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary;batch_jun2026,2
Oryctolagus cuniculus,no,no,,,,no,yes,species_config,1
Ovis aries,no,no,,,,no,yes,species_config,1
Owenia fusiformis,yes,no,annotated_family_member_found,annotated_family_member_found,no_related_entry_found,no,no,annotation_summary;batch_jun2026,2
Parachordodes pustulosus,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Paragordius varius,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Parasteatoda tepidariorum,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Peripatoides novaezealandiae,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Peripatus solorzanoi,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Philodina roseola,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Pleurobrachia bachei,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Pomacea canaliculata,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Pongo pygmaeus,no,no,,,,no,yes,species_config,1
Priapulus caudatus,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;innexin_discovery,2
Pycnophyes kielensis,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Ramazzottius varieornatus,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;innexin_discovery,2
Rattus norvegicus,no,no,,,,no,yes,species_config,1
Rotaria macrura,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Rotaria sordida,yes,no,annotated_family_member_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch_jun2026,2
Schistocerca americana,no,no,,,,no,yes,species_config,1
Scolanthus callimorphus,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Seison annulatus,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Seison nebaliae,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Streblospio benedicti,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Stylissa carteri,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Sus scrofa,no,no,,,,no,yes,species_config,1
Tetranychus urticae,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Thaumastoderma heideri,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Thulinius sp. DVL-2010,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Tigriopus californicus,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary;batch_jun2026,2
Triops cancriformis,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Tubiluchus corallicola,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
Ursus americanus,no,no,,,,no,yes,species_config,1
Xenopus laevis,no,no,,,,no,yes,species_config,1
Xenopus tropicalis,no,no,,,,no,yes,species_config,1
Xestospongia testudinaria,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,yes,no,annotation_summary;batch_jun2026;innexin_discovery;not_annotated_innexin,4
